AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-19|1.1|1.2|1.2|962|Incidence|82252861|Hodgkin Lymphoma|2013
0-14|0.0|0.1|0.1|40|Mortality|61069460|Kidney and Renal Pelvis|2013
0-19|0.0|0.1|0.1|46|Mortality|82252861|Kidney and Renal Pelvis|2013
0-14|0.8|1.0|0.9|560|Incidence|61069460|Kidney and Renal Pelvis|2013
0-19|0.7|0.8|0.8|617|Incidence|82252861|Kidney and Renal Pelvis|2013
0-14|0.5|0.6|0.6|350|Mortality|61069460|Leukemia|2013
0-19|0.6|0.7|0.6|509|Mortality|82252861|Leukemia|2013
0-14|4.7|5.0|4.9|2979|Incidence|61069460|Leukemia|2013
0-19|4.3|4.5|4.4|3619|Incidence|82252861|Leukemia|2013
0-14|0.0|0.1|0.0|29|Mortality|61069460|Non-Hodgkin Lymphoma|2013
0-19|0.1|0.1|0.1|60|Mortality|82252861|Non-Hodgkin Lymphoma|2013
0-14|0.9|1.1|1.0|598|Incidence|61069460|Non-Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|962|Incidence|82252861|Non-Hodgkin Lymphoma|2013
0-14|0.4|0.5|0.4|254|Mortality|61069460|Other|2013
0-19|0.4|0.5|0.4|367|Mortality|82252861|Other|2013
0-14|4.1|4.4|4.3|2604|Incidence|61069460|Other|2013
0-19|5.4|5.7|5.5|4591|Incidence|82252861|Other|2013
0-14|0.1|0.2|0.2|101|Mortality|61069460|Soft Tissue|2013
0-19|0.2|0.3|0.2|183|Mortality|82252861|Soft Tissue|2013
0-14|1.0|1.2|1.1|667|Incidence|61069460|Soft Tissue|2013
0-19|1.0|1.1|1.1|885|Incidence|82252861|Soft Tissue|2013
0-14|0.2|0.3|0.2|141|Mortality|61055697|Acute Lymphocytic|2014
0-19|0.2|0.3|0.3|207|Mortality|82116071|Acute Lymphocytic|2014
0-14|3.7|4.0|3.9|2362|Incidence|61055697|Acute Lymphocytic|2014
0-19|3.2|3.4|3.3|2711|Incidence|82116071|Acute Lymphocytic|2014
0-14|0.1|0.2|0.2|94|Mortality|61055697|Acute Myeloid|2014
0-19|0.2|0.2|0.2|148|Mortality|82116071|Acute Myeloid|2014
0-14|0.7|0.8|0.7|449|Incidence|61055697|Acute Myeloid|2014
0-19|0.7|0.9|0.8|659|Incidence|82116071|Acute Myeloid|2014
0-14|1.9|2.1|2.0|1225|Mortality|61055697|All Cancer Sites Combined|2014
0-19|2.1|2.3|2.2|1837|Mortality|82116071|All Cancer Sites Combined|2014
0-14|17.2|17.9|17.5|10720|Incidence|61055697|All Cancer Sites Combined|2014
0-19|18.7|19.3|19.0|15643|Incidence|82116071|All Cancer Sites Combined|2014
0-14|0.1|0.2|0.1|85|Mortality|61055697|Bones and Joints|2014
0-19|0.2|0.3|0.2|181|Mortality|82116071|Bones and Joints|2014
0-14|0.8|0.9|0.8|501|Incidence|61055697|Bones and Joints|2014
0-19|0.9|1.0|1.0|799|Incidence|82116071|Bones and Joints|2014
0-14|0.6|0.8|0.7|420|Mortality|61055697|Brain and Other Nervous System|2014
0-19|0.6|0.7|0.7|559|Mortality|82116071|Brain and Other Nervous System|2014
0-14|3.5|3.9|3.7|2260|Incidence|61055697|Brain and Other Nervous System|2014
0-19|3.2|3.5|3.4|2768|Incidence|82116071|Brain and Other Nervous System|2014
0-14|~|~|~|~|Mortality|61055697|Hodgkin Lymphoma|2014
0-19|~|~|~|~|Mortality|82116071|Hodgkin Lymphoma|2014
0-14|0.5|0.6|0.6|336|Incidence|61055697|Hodgkin Lymphoma|2014
0-19|1.1|1.3|1.2|987|Incidence|82116071|Hodgkin Lymphoma|2014
0-14|0.0|0.1|0.0|24|Mortality|61055697|Kidney and Renal Pelvis|2014
0-19|0.0|0.1|0.0|34|Mortality|82116071|Kidney and Renal Pelvis|2014
0-14|0.9|1.0|0.9|575|Incidence|61055697|Kidney and Renal Pelvis|2014
0-19|0.7|0.8|0.8|625|Incidence|82116071|Kidney and Renal Pelvis|2014
0-14|0.4|0.5|0.5|296|Mortality|61055697|Leukemia|2014
0-19|0.5|0.6|0.6|456|Mortality|82116071|Leukemia|2014
0-14|4.8|5.1|5.0|3041|Incidence|61055697|Leukemia|2014
0-19|4.4|4.7|4.5|3715|Incidence|82116071|Leukemia|2014
0-14|0.0|0.1|0.1|39|Mortality|61055697|Non-Hodgkin Lymphoma|2014
0-19|0.1|0.1|0.1|69|Mortality|82116071|Non-Hodgkin Lymphoma|2014
0-14|1.1|1.2|1.2|701|Incidence|61055697|Non-Hodgkin Lymphoma|2014
0-19|1.3|1.5|1.4|1143|Incidence|82116071|Non-Hodgkin Lymphoma|2014
0-14|0.4|0.5|0.5|285|Mortality|61055697|Other|2014
0-19|0.4|0.5|0.5|389|Mortality|82116071|Other|2014
0-14|4.2|4.5|4.3|2653|Incidence|61055697|Other|2014
0-19|5.5|5.9|5.7|4716|Incidence|82116071|Other|2014
0-14|0.1|0.2|0.1|76|Mortality|61055697|Soft Tissue|2014
0-19|0.1|0.2|0.2|143|Mortality|82116071|Soft Tissue|2014
0-14|1.0|1.2|1.1|653|Incidence|61055697|Soft Tissue|2014
0-19|1.0|1.2|1.1|890|Incidence|82116071|Soft Tissue|2014
0-14|0.2|0.3|0.2|146|Mortality|61002024|Acute Lymphocytic|2015
0-19|0.2|0.3|0.3|206|Mortality|82096458|Acute Lymphocytic|2015
0-14|3.9|4.2|4.1|2486|Incidence|61002024|Acute Lymphocytic|2015
0-19|3.4|3.6|3.5|2873|Incidence|82096458|Acute Lymphocytic|2015
0-14|0.2|0.2|0.2|119|Mortality|61002024|Acute Myeloid|2015
0-19|0.2|0.2|0.2|175|Mortality|82096458|Acute Myeloid|2015
0-14|0.7|0.8|0.7|444|Incidence|61002024|Acute Myeloid|2015
0-19|0.7|0.8|0.8|630|Incidence|82096458|Acute Myeloid|2015
0-14|2.0|2.2|2.1|1272|Mortality|61002024|All Cancer Sites Combined|2015
0-19|2.2|2.4|2.3|1855|Mortality|82096458|All Cancer Sites Combined|2015
0-14|17.4|18.0|17.7|10822|Incidence|61002024|All Cancer Sites Combined|2015
0-19|19.1|19.7|19.4|15998|Incidence|82096458|All Cancer Sites Combined|2015
0-14|0.1|0.2|0.1|84|Mortality|61002024|Bones and Joints|2015
0-19|0.2|0.3|0.2|197|Mortality|82096458|Bones and Joints|2015
0-14|0.7|0.9|0.8|474|Incidence|61002024|Bones and Joints|2015
0-19|0.9|1.0|0.9|771|Incidence|82096458|Bones and Joints|2015
0-14|0.6|0.8|0.7|430|Mortality|61002024|Brain and Other Nervous System|2015
0-19|0.6|0.7|0.6|531|Mortality|82096458|Brain and Other Nervous System|2015
0-14|3.4|3.7|3.6|2173|Incidence|61002024|Brain and Other Nervous System|2015
0-19|3.1|3.4|3.3|2671|Incidence|82096458|Brain and Other Nervous System|2015
0-14|~|~|~|~|Mortality|61002024|Hodgkin Lymphoma|2015
0-19|~|~|~|~|Mortality|82096458|Hodgkin Lymphoma|2015
0-14|0.5|0.7|0.6|359|Incidence|61002024|Hodgkin Lymphoma|2015
0-19|1.2|1.3|1.2|1022|Incidence|82096458|Hodgkin Lymphoma|2015
0-14|0.0|0.1|0.1|36|Mortality|61002024|Kidney and Renal Pelvis|2015
0-19|0.0|0.1|0.1|44|Mortality|82096458|Kidney and Renal Pelvis|2015
0-14|0.9|1.1|1.0|605|Incidence|61002024|Kidney and Renal Pelvis|2015
0-19|0.7|0.9|0.8|658|Incidence|82096458|Kidney and Renal Pelvis|2015
0-14|0.5|0.6|0.6|343|Mortality|61002024|Leukemia|2015
0-19|0.5|0.7|0.6|490|Mortality|82096458|Leukemia|2015
0-14|5.0|5.3|5.1|3147|Incidence|61002024|Leukemia|2015
0-19|4.5|4.8|4.7|3837|Incidence|82096458|Leukemia|2015
0-14|0.0|0.1|0.1|35|Mortality|61002024|Non-Hodgkin Lymphoma|2015
0-19|0.1|0.1|0.1|73|Mortality|82096458|Non-Hodgkin Lymphoma|2015
0-14|0.9|1.1|1.0|619|Incidence|61002024|Non-Hodgkin Lymphoma|2015
0-19|1.2|1.3|1.3|1045|Incidence|82096458|Non-Hodgkin Lymphoma|2015
0-14|0.3|0.4|0.4|235|Mortality|61002024|Other|2015
0-19|0.4|0.5|0.4|350|Mortality|82096458|Other|2015
0-14|4.4|4.7|4.6|2787|Incidence|61002024|Other|2015
0-19|6.0|6.3|6.1|5071|Incidence|82096458|Other|2015
0-14|0.1|0.2|0.2|105|Mortality|61002024|Soft Tissue|2015
0-19|0.2|0.2|0.2|158|Mortality|82096458|Soft Tissue|2015
0-14|1.0|1.2|1.1|658|Incidence|61002024|Soft Tissue|2015
0-19|1.0|1.2|1.1|923|Incidence|82096458|Soft Tissue|2015
0-14|0.2|0.3|0.2|146|Mortality|60976283|Acute Lymphocytic|2016
0-19|0.2|0.3|0.3|218|Mortality|82127667|Acute Lymphocytic|2016
0-14|3.8|4.2|4.0|2450|Incidence|60976283|Acute Lymphocytic|2016
0-19|3.3|3.6|3.4|2826|Incidence|82127667|Acute Lymphocytic|2016
0-14|0.2|0.3|0.2|133|Mortality|60976283|Acute Myeloid|2016
0-19|0.2|0.3|0.2|179|Mortality|82127667|Acute Myeloid|2016
0-14|0.7|0.8|0.7|447|Incidence|60976283|Acute Myeloid|2016
0-19|0.7|0.8|0.8|638|Incidence|82127667|Acute Myeloid|2016
0-14|2.1|2.3|2.2|1324|Mortality|60976283|All Cancer Sites Combined|2016
0-19|2.2|2.4|2.3|1920|Mortality|82127667|All Cancer Sites Combined|2016
0-14|17.0|17.7|17.3|10597|Incidence|60976283|All Cancer Sites Combined|2016
0-19|18.7|19.3|19.0|15681|Incidence|82127667|All Cancer Sites Combined|2016
0-14|0.1|0.2|0.1|82|Mortality|60976283|Bones and Joints|2016
0-19|0.2|0.3|0.2|200|Mortality|82127667|Bones and Joints|2016
0-14|0.8|0.9|0.8|501|Incidence|60976283|Bones and Joints|2016
0-19|0.9|1.1|1.0|817|Incidence|82127667|Bones and Joints|2016
0-14|0.7|0.8|0.7|444|Mortality|60976283|Brain and Other Nervous System|2016
0-19|0.6|0.7|0.7|552|Mortality|82127667|Brain and Other Nervous System|2016
0-14|3.4|3.7|3.6|2178|Incidence|60976283|Brain and Other Nervous System|2016
0-19|3.1|3.3|3.2|2620|Incidence|82127667|Brain and Other Nervous System|2016
0-14|~|~|~|~|Mortality|60976283|Hodgkin Lymphoma|2016
0-19|~|~|~|~|Mortality|82127667|Hodgkin Lymphoma|2016
0-14|0.5|0.6|0.6|351|Incidence|60976283|Hodgkin Lymphoma|2016
0-19|1.2|1.3|1.2|1024|Incidence|82127667|Hodgkin Lymphoma|2016
0-14|0.0|0.1|0.1|38|Mortality|60976283|Kidney and Renal Pelvis|2016
0-19|0.0|0.1|0.1|51|Mortality|82127667|Kidney and Renal Pelvis|2016
0-14|0.8|1.0|0.9|537|Incidence|60976283|Kidney and Renal Pelvis|2016
0-19|0.7|0.8|0.7|583|Incidence|82127667|Kidney and Renal Pelvis|2016
0-14|0.5|0.6|0.6|351|Mortality|60976283|Leukemia|2016
0-19|0.6|0.7|0.6|499|Mortality|82127667|Leukemia|2016
0-14|4.9|5.3|5.1|3127|Incidence|60976283|Leukemia|2016
0-19|4.5|4.8|4.6|3789|Incidence|82127667|Leukemia|2016
0-14|0.0|0.1|0.1|31|Mortality|60976283|Non-Hodgkin Lymphoma|2016
0-19|0.1|0.1|0.1|60|Mortality|82127667|Non-Hodgkin Lymphoma|2016
0-14|1.0|1.2|1.1|659|Incidence|60976283|Non-Hodgkin Lymphoma|2016
0-19|1.2|1.4|1.3|1070|Incidence|82127667|Non-Hodgkin Lymphoma|2016
0-14|0.4|0.5|0.4|269|Mortality|60976283|Other|2016
0-19|0.4|0.5|0.5|385|Mortality|82127667|Other|2016
0-14|4.1|4.4|4.3|2614|Incidence|60976283|Other|2016
0-19|5.7|6.1|5.9|4892|Incidence|82127667|Other|2016
0-14|0.1|0.2|0.2|107|Mortality|60976283|Soft Tissue|2016
0-19|0.2|0.2|0.2|167|Mortality|82127667|Soft Tissue|2016
0-14|1.0|1.1|1.0|630|Incidence|60976283|Soft Tissue|2016
0-19|1.0|1.1|1.1|886|Incidence|82127667|Soft Tissue|2016
