AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|21.8|23.1|22.4|4856|Incidence|21660368|All Cancer Sites Combined|2011
5-9|12.9|13.9|13.4|2718|Incidence|20332792|All Cancer Sites Combined|2011
<1|24.1|27.3|25.7|1018|Incidence|3962971|All Cancer Sites Combined|2011
1-4|0.6|0.8|0.7|111|Mortality|16159675|Brain and Other Nervous System|2011
10-14|0.5|0.7|0.6|116|Mortality|20714211|Brain and Other Nervous System|2011
15-19|0.4|0.6|0.5|111|Mortality|21660368|Brain and Other Nervous System|2011
5-9|0.8|1.1|1.0|198|Mortality|20332792|Brain and Other Nervous System|2011
<1|~|~|~|~|Mortality|3962971|Brain and Other Nervous System|2011
1-4|4.3|5.0|4.6|749|Incidence|16159675|Brain and Other Nervous System|2011
10-14|2.7|3.2|2.9|605|Incidence|20714211|Brain and Other Nervous System|2011
15-19|2.4|2.8|2.6|556|Incidence|21660368|Brain and Other Nervous System|2011
5-9|3.4|3.9|3.6|736|Incidence|20332792|Brain and Other Nervous System|2011
<1|3.3|4.6|3.9|155|Incidence|3962971|Brain and Other Nervous System|2011
1-4|~|~|~|~|Mortality|7908360|Cervix|2011
10-14|~|~|~|~|Mortality|10126767|Cervix|2011
15-19|~|~|~|~|Mortality|10539849|Cervix|2011
5-9|~|~|~|~|Mortality|9951282|Cervix|2011
<1|~|~|~|~|Mortality|1934606|Cervix|2011
1-4|~|~|~|~|Incidence|7908360|Cervix|2011
10-14|~|~|~|~|Incidence|10126767|Cervix|2011
15-19|~|~|~|~|Incidence|10539849|Cervix|2011
5-9|~|~|~|~|Incidence|9951282|Cervix|2011
<1|~|~|~|~|Incidence|1934606|Cervix|2011
1-4|~|~|~|~|Mortality|16159675|Colon and Rectum|2011
10-14|~|~|~|~|Mortality|20714211|Colon and Rectum|2011
15-19|~|~|~|~|Mortality|21660368|Colon and Rectum|2011
5-9|~|~|~|~|Mortality|20332792|Colon and Rectum|2011
<1|~|~|~|~|Mortality|3962971|Colon and Rectum|2011
1-4|~|~|~|~|Incidence|16159675|Colon and Rectum|2011
10-14|0.1|0.2|0.1|24|Incidence|20714211|Colon and Rectum|2011
15-19|0.3|0.4|0.3|74|Incidence|21660368|Colon and Rectum|2011
5-9|~|~|~|~|Incidence|20332792|Colon and Rectum|2011
<1|~|~|~|~|Incidence|3962971|Colon and Rectum|2011
1-4|~|~|~|~|Mortality|7908360|Corpus and Uterus, NOS|2011
10-14|~|~|~|~|Mortality|10126767|Corpus and Uterus, NOS|2011
15-19|~|~|~|~|Mortality|10539849|Corpus and Uterus, NOS|2011
5-9|~|~|~|~|Mortality|9951282|Corpus and Uterus, NOS|2011
<1|~|~|~|~|Mortality|1934606|Corpus and Uterus, NOS|2011
1-4|~|~|~|~|Incidence|7908360|Corpus and Uterus, NOS|2011
10-14|~|~|~|~|Incidence|10126767|Corpus and Uterus, NOS|2011
15-19|~|~|~|~|Incidence|10539849|Corpus and Uterus, NOS|2011
5-9|~|~|~|~|Incidence|9951282|Corpus and Uterus, NOS|2011
<1|~|~|~|~|Incidence|1934606|Corpus and Uterus, NOS|2011
1-4|~|~|~|~|Mortality|16159675|Esophagus|2011
10-14|~|~|~|~|Mortality|20714211|Esophagus|2011
15-19|~|~|~|~|Mortality|21660368|Esophagus|2011
5-9|~|~|~|~|Mortality|20332792|Esophagus|2011
<1|~|~|~|~|Mortality|3962971|Esophagus|2011
1-4|~|~|~|~|Incidence|16159675|Esophagus|2011
10-14|~|~|~|~|Incidence|20714211|Esophagus|2011
15-19|~|~|~|~|Incidence|21660368|Esophagus|2011
5-9|~|~|~|~|Incidence|20332792|Esophagus|2011
<1|~|~|~|~|Incidence|3962971|Esophagus|2011
1-4|~|~|~|~|Mortality|7908360|Female Breast|2011
10-14|~|~|~|~|Mortality|10126767|Female Breast|2011
15-19|~|~|~|~|Mortality|10539849|Female Breast|2011
5-9|~|~|~|~|Mortality|9951282|Female Breast|2011
<1|~|~|~|~|Mortality|1934606|Female Breast|2011
1-4|~|~|~|~|Incidence|7908360|Female Breast|2011
10-14|~|~|~|~|Incidence|10126767|Female Breast|2011
15-19|~|~|~|~|Incidence|10539849|Female Breast|2011
5-9|~|~|~|~|Incidence|9951282|Female Breast|2011
<1|~|~|~|~|Incidence|1934606|Female Breast|2011
1-4|~|~|~|~|Incidence|7908360|Female Breast, <i>in situ</i>|2011
10-14|~|~|~|~|Incidence|10126767|Female Breast, <i>in situ</i>|2011
15-19|~|~|~|~|Incidence|10539849|Female Breast, <i>in situ</i>|2011
5-9|~|~|~|~|Incidence|9951282|Female Breast, <i>in situ</i>|2011
<1|~|~|~|~|Incidence|1934606|Female Breast, <i>in situ</i>|2011
1-4|~|~|~|~|Mortality|16159675|Hodgkin Lymphoma|2011
10-14|~|~|~|~|Mortality|20714211|Hodgkin Lymphoma|2011
15-19|0.0|0.1|0.1|16|Mortality|21660368|Hodgkin Lymphoma|2011
5-9|~|~|~|~|Mortality|20332792|Hodgkin Lymphoma|2011
<1|~|~|~|~|Mortality|3962971|Hodgkin Lymphoma|2011
1-4|~|~|~|~|Incidence|16159675|Hodgkin Lymphoma|2011
10-14|1.0|1.3|1.1|228|Incidence|20714211|Hodgkin Lymphoma|2011
15-19|2.9|3.4|3.2|684|Incidence|21660368|Hodgkin Lymphoma|2011
5-9|0.3|0.5|0.4|73|Incidence|20332792|Hodgkin Lymphoma|2011
<1|~|~|~|~|Incidence|3962971|Hodgkin Lymphoma|2011
1-4|.|.|.|.|Mortality|16159675|Kaposi Sarcoma|2011
10-14|.|.|.|.|Mortality|20714211|Kaposi Sarcoma|2011
15-19|.|.|.|.|Mortality|21660368|Kaposi Sarcoma|2011
5-9|.|.|.|.|Mortality|20332792|Kaposi Sarcoma|2011
<1|.|.|.|.|Mortality|3962971|Kaposi Sarcoma|2011
1-4|~|~|~|~|Incidence|16159675|Kaposi Sarcoma|2011
10-14|~|~|~|~|Incidence|20714211|Kaposi Sarcoma|2011
15-19|~|~|~|~|Incidence|21660368|Kaposi Sarcoma|2011
5-9|~|~|~|~|Incidence|20332792|Kaposi Sarcoma|2011
<1|~|~|~|~|Incidence|3962971|Kaposi Sarcoma|2011
1-4|~|~|~|~|Mortality|16159675|Kidney and Renal Pelvis|2011
10-14|~|~|~|~|Mortality|20714211|Kidney and Renal Pelvis|2011
15-19|~|~|~|~|Mortality|21660368|Kidney and Renal Pelvis|2011
5-9|0.1|0.2|0.1|21|Mortality|20332792|Kidney and Renal Pelvis|2011
<1|~|~|~|~|Mortality|3962971|Kidney and Renal Pelvis|2011
1-4|2.0|2.5|2.2|359|Incidence|16159675|Kidney and Renal Pelvis|2011
10-14|0.1|0.2|0.2|34|Incidence|20714211|Kidney and Renal Pelvis|2011
15-19|0.1|0.3|0.2|44|Incidence|21660368|Kidney and Renal Pelvis|2011
5-9|0.5|0.7|0.6|119|Incidence|20332792|Kidney and Renal Pelvis|2011
<1|1.2|2.0|1.6|63|Incidence|3962971|Kidney and Renal Pelvis|2011
1-4|~|~|~|~|Mortality|16159675|Larynx|2011
10-14|~|~|~|~|Mortality|20714211|Larynx|2011
15-19|~|~|~|~|Mortality|21660368|Larynx|2011
5-9|~|~|~|~|Mortality|20332792|Larynx|2011
<1|~|~|~|~|Mortality|3962971|Larynx|2011
1-4|~|~|~|~|Incidence|16159675|Larynx|2011
10-14|~|~|~|~|Incidence|20714211|Larynx|2011
15-19|~|~|~|~|Incidence|21660368|Larynx|2011
5-9|~|~|~|~|Incidence|20332792|Larynx|2011
<1|~|~|~|~|Incidence|3962971|Larynx|2011
1-4|0.5|0.7|0.6|95|Mortality|16159675|Leukemias|2011
10-14|0.5|0.7|0.6|127|Mortality|20714211|Leukemias|2011
15-19|0.7|0.9|0.8|177|Mortality|21660368|Leukemias|2011
5-9|0.4|0.6|0.5|98|Mortality|20332792|Leukemias|2011
<1|0.3|0.8|0.6|22|Mortality|3962971|Leukemias|2011
1-4|8.7|9.7|9.2|1482|Incidence|16159675|Leukemias|2011
10-14|2.9|3.4|3.1|645|Incidence|20714211|Leukemias|2011
15-19|2.9|3.4|3.1|675|Incidence|21660368|Leukemias|2011
5-9|4.2|4.7|4.4|903|Incidence|20332792|Leukemias|2011
<1|3.7|5.0|4.3|170|Incidence|3962971|Leukemias|2011
1-4|0.1|0.2|0.2|27|Mortality|16159675|Liver and Intrahepatic Bile Duct|2011
10-14|~|~|~|~|Mortality|20714211|Liver and Intrahepatic Bile Duct|2011
15-19|~|~|~|~|Mortality|21660368|Liver and Intrahepatic Bile Duct|2011
5-9|~|~|~|~|Mortality|20332792|Liver and Intrahepatic Bile Duct|2011
<1|~|~|~|~|Mortality|3962971|Liver and Intrahepatic Bile Duct|2011
1-4|0.6|0.8|0.7|112|Incidence|16159675|Liver and Intrahepatic Bile Duct|2011
10-14|0.1|0.2|0.1|31|Incidence|20714211|Liver and Intrahepatic Bile Duct|2011
15-19|0.1|0.2|0.1|24|Incidence|21660368|Liver and Intrahepatic Bile Duct|2011
5-9|0.1|0.2|0.1|21|Incidence|20332792|Liver and Intrahepatic Bile Duct|2011
<1|1.0|1.8|1.4|55|Incidence|3962971|Liver and Intrahepatic Bile Duct|2011
1-4|~|~|~|~|Mortality|16159675|Lung and Bronchus|2011
10-14|~|~|~|~|Mortality|20714211|Lung and Bronchus|2011
15-19|~|~|~|~|Mortality|21660368|Lung and Bronchus|2011
5-9|~|~|~|~|Mortality|20332792|Lung and Bronchus|2011
<1|~|~|~|~|Mortality|3962971|Lung and Bronchus|2011
1-4|~|~|~|~|Incidence|16159675|Lung and Bronchus|2011
10-14|~|~|~|~|Incidence|20714211|Lung and Bronchus|2011
15-19|0.1|0.2|0.1|26|Incidence|21660368|Lung and Bronchus|2011
5-9|~|~|~|~|Incidence|20332792|Lung and Bronchus|2011
<1|~|~|~|~|Incidence|3962971|Lung and Bronchus|2011
1-4|~|~|~|~|Mortality|7908360|Male and Female Breast|2011
10-14|~|~|~|~|Mortality|10126767|Male and Female Breast|2011
15-19|~|~|~|~|Mortality|10539849|Male and Female Breast|2011
5-9|~|~|~|~|Mortality|9951282|Male and Female Breast|2011
<1|~|~|~|~|Mortality|1934606|Male and Female Breast|2011
1-4|~|~|~|~|Incidence|7908360|Male and Female Breast|2011
10-14|~|~|~|~|Incidence|10126767|Male and Female Breast|2011
15-19|~|~|~|~|Incidence|10539849|Male and Female Breast|2011
5-9|~|~|~|~|Incidence|9951282|Male and Female Breast|2011
<1|~|~|~|~|Incidence|1934606|Male and Female Breast|2011
1-4|~|~|~|~|Incidence|7908360|Male and Female Breast, <i>in situ</i>|2011
10-14|~|~|~|~|Incidence|10126767|Male and Female Breast, <i>in situ</i>|2011
15-19|~|~|~|~|Incidence|10539849|Male and Female Breast, <i>in situ</i>|2011
5-9|~|~|~|~|Incidence|9951282|Male and Female Breast, <i>in situ</i>|2011
<1|~|~|~|~|Incidence|1934606|Male and Female Breast, <i>in situ</i>|2011
1-4|~|~|~|~|Mortality|16159675|Melanomas of the Skin|2011
10-14|~|~|~|~|Mortality|20714211|Melanomas of the Skin|2011
15-19|~|~|~|~|Mortality|21660368|Melanomas of the Skin|2011
5-9|~|~|~|~|Mortality|20332792|Melanomas of the Skin|2011
<1|~|~|~|~|Mortality|3962971|Melanomas of the Skin|2011
1-4|~|~|~|~|Incidence|16159675|Melanomas of the Skin|2011
10-14|0.2|0.4|0.3|63|Incidence|20714211|Melanomas of the Skin|2011
15-19|0.9|1.2|1.0|223|Incidence|21660368|Melanomas of the Skin|2011
5-9|0.1|0.2|0.2|35|Incidence|20332792|Melanomas of the Skin|2011
<1|~|~|~|~|Incidence|3962971|Melanomas of the Skin|2011
1-4|~|~|~|~|Mortality|16159675|Mesothelioma|2011
10-14|~|~|~|~|Mortality|20714211|Mesothelioma|2011
15-19|~|~|~|~|Mortality|21660368|Mesothelioma|2011
5-9|~|~|~|~|Mortality|20332792|Mesothelioma|2011
<1|~|~|~|~|Mortality|3962971|Mesothelioma|2011
1-4|~|~|~|~|Incidence|16159675|Mesothelioma|2011
10-14|~|~|~|~|Incidence|20714211|Mesothelioma|2011
15-19|~|~|~|~|Incidence|21660368|Mesothelioma|2011
5-9|~|~|~|~|Incidence|20332792|Mesothelioma|2011
<1|~|~|~|~|Incidence|3962971|Mesothelioma|2011
1-4|~|~|~|~|Mortality|16159675|Myeloma|2011
10-14|~|~|~|~|Mortality|20714211|Myeloma|2011
15-19|~|~|~|~|Mortality|21660368|Myeloma|2011
5-9|~|~|~|~|Mortality|20332792|Myeloma|2011
<1|~|~|~|~|Mortality|3962971|Myeloma|2011
1-4|~|~|~|~|Incidence|16159675|Myeloma|2011
10-14|~|~|~|~|Incidence|20714211|Myeloma|2011
15-19|~|~|~|~|Incidence|21660368|Myeloma|2011
5-9|~|~|~|~|Incidence|20332792|Myeloma|2011
<1|~|~|~|~|Incidence|3962971|Myeloma|2011
1-4|~|~|~|~|Mortality|16159675|Non-Hodgkin Lymphoma|2011
10-14|0.0|0.1|0.1|16|Mortality|20714211|Non-Hodgkin Lymphoma|2011
15-19|0.1|0.2|0.1|32|Mortality|21660368|Non-Hodgkin Lymphoma|2011
5-9|~|~|~|~|Mortality|20332792|Non-Hodgkin Lymphoma|2011
<1|~|~|~|~|Mortality|3962971|Non-Hodgkin Lymphoma|2011
1-4|0.5|0.8|0.6|105|Incidence|16159675|Non-Hodgkin Lymphoma|2011
10-14|1.0|1.3|1.1|234|Incidence|20714211|Non-Hodgkin Lymphoma|2011
15-19|1.6|1.9|1.7|374|Incidence|21660368|Non-Hodgkin Lymphoma|2011
5-9|0.9|1.2|1.0|212|Incidence|20332792|Non-Hodgkin Lymphoma|2011
<1|~|~|~|~|Incidence|3962971|Non-Hodgkin Lymphoma|2011
1-4|~|~|~|~|Mortality|16159675|Oral Cavity and Pharynx|2011
10-14|~|~|~|~|Mortality|20714211|Oral Cavity and Pharynx|2011
15-19|~|~|~|~|Mortality|21660368|Oral Cavity and Pharynx|2011
5-9|~|~|~|~|Mortality|20332792|Oral Cavity and Pharynx|2011
<1|~|~|~|~|Mortality|3962971|Oral Cavity and Pharynx|2011
1-4|~|~|~|~|Incidence|16159675|Oral Cavity and Pharynx|2011
10-14|0.2|0.3|0.3|53|Incidence|20714211|Oral Cavity and Pharynx|2011
15-19|0.4|0.6|0.5|104|Incidence|21660368|Oral Cavity and Pharynx|2011
5-9|0.1|0.1|0.1|19|Incidence|20332792|Oral Cavity and Pharynx|2011
<1|~|~|~|~|Incidence|3962971|Oral Cavity and Pharynx|2011
1-4|~|~|~|~|Mortality|7908360|Ovary|2011
10-14|~|~|~|~|Mortality|10126767|Ovary|2011
15-19|~|~|~|~|Mortality|10539849|Ovary|2011
5-9|~|~|~|~|Mortality|9951282|Ovary|2011
<1|~|~|~|~|Mortality|1934606|Ovary|2011
1-4|~|~|~|~|Incidence|7908360|Ovary|2011
10-14|0.5|0.8|0.6|65|Incidence|10126767|Ovary|2011
15-19|1.0|1.4|1.2|124|Incidence|10539849|Ovary|2011
5-9|0.2|0.5|0.3|33|Incidence|9951282|Ovary|2011
<1|~|~|~|~|Incidence|1934606|Ovary|2011
1-4|~|~|~|~|Mortality|16159675|Pancreas|2011
10-14|~|~|~|~|Mortality|20714211|Pancreas|2011
15-19|~|~|~|~|Mortality|21660368|Pancreas|2011
5-9|~|~|~|~|Mortality|20332792|Pancreas|2011
<1|~|~|~|~|Mortality|3962971|Pancreas|2011
1-4|~|~|~|~|Incidence|16159675|Pancreas|2011
10-14|~|~|~|~|Incidence|20714211|Pancreas|2011
15-19|0.1|0.1|0.1|20|Incidence|21660368|Pancreas|2011
5-9|~|~|~|~|Incidence|20332792|Pancreas|2011
<1|~|~|~|~|Incidence|3962971|Pancreas|2011
1-4|~|~|~|~|Mortality|8251315|Prostate|2011
10-14|~|~|~|~|Mortality|10587444|Prostate|2011
15-19|~|~|~|~|Mortality|11120519|Prostate|2011
5-9|~|~|~|~|Mortality|10381510|Prostate|2011
<1|~|~|~|~|Mortality|2028365|Prostate|2011
1-4|~|~|~|~|Incidence|8251315|Prostate|2011
10-14|~|~|~|~|Incidence|10587444|Prostate|2011
15-19|~|~|~|~|Incidence|11120519|Prostate|2011
5-9|~|~|~|~|Incidence|10381510|Prostate|2011
<1|~|~|~|~|Incidence|2028365|Prostate|2011
1-4|~|~|~|~|Mortality|16159675|Stomach|2011
10-14|~|~|~|~|Mortality|20714211|Stomach|2011
15-19|~|~|~|~|Mortality|21660368|Stomach|2011
5-9|~|~|~|~|Mortality|20332792|Stomach|2011
<1|~|~|~|~|Mortality|3962971|Stomach|2011
1-4|~|~|~|~|Incidence|16159675|Stomach|2011
10-14|~|~|~|~|Incidence|20714211|Stomach|2011
15-19|0.0|0.1|0.1|16|Incidence|21660368|Stomach|2011
5-9|~|~|~|~|Incidence|20332792|Stomach|2011
<1|~|~|~|~|Incidence|3962971|Stomach|2011
1-4|~|~|~|~|Mortality|8251315|Testis|2011
10-14|~|~|~|~|Mortality|10587444|Testis|2011
15-19|~|~|~|~|Mortality|11120519|Testis|2011
5-9|~|~|~|~|Mortality|10381510|Testis|2011
<1|~|~|~|~|Mortality|2028365|Testis|2011
1-4|0.2|0.4|0.3|24|Incidence|8251315|Testis|2011
10-14|0.1|0.3|0.2|19|Incidence|10587444|Testis|2011
15-19|3.3|4.0|3.6|403|Incidence|11120519|Testis|2011
5-9|~|~|~|~|Incidence|10381510|Testis|2011
<1|~|~|~|~|Incidence|2028365|Testis|2011
1-4|~|~|~|~|Mortality|16159675|Thyroid|2011
10-14|~|~|~|~|Mortality|20714211|Thyroid|2011
15-19|~|~|~|~|Mortality|21660368|Thyroid|2011
5-9|~|~|~|~|Mortality|20332792|Thyroid|2011
<1|~|~|~|~|Mortality|3962971|Thyroid|2011
1-4|~|~|~|~|Incidence|16159675|Thyroid|2011
10-14|0.7|1.0|0.8|171|Incidence|20714211|Thyroid|2011
15-19|2.5|3.0|2.7|591|Incidence|21660368|Thyroid|2011
5-9|0.1|0.2|0.1|29|Incidence|20332792|Thyroid|2011
<1|~|~|~|~|Incidence|3962971|Thyroid|2011
1-4|~|~|~|~|Mortality|16159675|Urinary Bladder|2011
10-14|~|~|~|~|Mortality|20714211|Urinary Bladder|2011
15-19|~|~|~|~|Mortality|21660368|Urinary Bladder|2011
5-9|~|~|~|~|Mortality|20332792|Urinary Bladder|2011
<1|~|~|~|~|Mortality|3962971|Urinary Bladder|2011
1-4|~|~|~|~|Incidence|16159675|Urinary Bladder|2011
10-14|~|~|~|~|Incidence|20714211|Urinary Bladder|2011
15-19|0.1|0.2|0.1|27|Incidence|21660368|Urinary Bladder|2011
5-9|~|~|~|~|Incidence|20332792|Urinary Bladder|2011
<1|~|~|~|~|Incidence|3962971|Urinary Bladder|2011
1-4|2.2|2.7|2.4|392|Mortality|16048677|All Cancer Sites Combined|2012
10-14|2.1|2.5|2.3|472|Mortality|20671622|All Cancer Sites Combined|2012
15-19|2.7|3.2|2.9|628|Mortality|21373098|All Cancer Sites Combined|2012
5-9|2.0|2.4|2.1|440|Mortality|20467414|All Cancer Sites Combined|2012
<1|1.2|2.1|1.6|63|Mortality|3926486|All Cancer Sites Combined|2012
1-4|22.9|24.4|23.6|3789|Incidence|16048677|All Cancer Sites Combined|2012
10-14|13.8|14.8|14.3|2957|Incidence|20671622|All Cancer Sites Combined|2012
15-19|22.5|23.8|23.2|4948|Incidence|21373098|All Cancer Sites Combined|2012
5-9|12.1|13.0|12.5|2567|Incidence|20467414|All Cancer Sites Combined|2012
<1|25.5|28.8|27.1|1066|Incidence|3926486|All Cancer Sites Combined|2012
1-4|0.6|0.8|0.7|108|Mortality|16048677|Brain and Other Nervous System|2012
10-14|0.6|0.9|0.7|151|Mortality|20671622|Brain and Other Nervous System|2012
15-19|0.5|0.7|0.5|117|Mortality|21373098|Brain and Other Nervous System|2012
5-9|0.8|1.0|0.9|185|Mortality|20467414|Brain and Other Nervous System|2012
<1|~|~|~|~|Mortality|3926486|Brain and Other Nervous System|2012
1-4|4.5|5.2|4.9|781|Incidence|16048677|Brain and Other Nervous System|2012
10-14|2.6|3.1|2.8|585|Incidence|20671622|Brain and Other Nervous System|2012
15-19|2.1|2.6|2.3|501|Incidence|21373098|Brain and Other Nervous System|2012
5-9|3.1|3.6|3.4|693|Incidence|20467414|Brain and Other Nervous System|2012
<1|3.3|4.5|3.8|151|Incidence|3926486|Brain and Other Nervous System|2012
1-4|~|~|~|~|Mortality|7852288|Cervix|2012
10-14|~|~|~|~|Mortality|10110562|Cervix|2012
15-19|~|~|~|~|Mortality|10410430|Cervix|2012
5-9|~|~|~|~|Mortality|10015570|Cervix|2012
<1|~|~|~|~|Mortality|1918799|Cervix|2012
1-4|~|~|~|~|Incidence|7852288|Cervix|2012
10-14|~|~|~|~|Incidence|10110562|Cervix|2012
15-19|~|~|~|~|Incidence|10410430|Cervix|2012
5-9|~|~|~|~|Incidence|10015570|Cervix|2012
<1|~|~|~|~|Incidence|1918799|Cervix|2012
1-4|~|~|~|~|Mortality|16048677|Colon and Rectum|2012
10-14|~|~|~|~|Mortality|20671622|Colon and Rectum|2012
15-19|~|~|~|~|Mortality|21373098|Colon and Rectum|2012
5-9|~|~|~|~|Mortality|20467414|Colon and Rectum|2012
<1|~|~|~|~|Mortality|3926486|Colon and Rectum|2012
1-4|~|~|~|~|Incidence|16048677|Colon and Rectum|2012
10-14|0.1|0.2|0.1|30|Incidence|20671622|Colon and Rectum|2012
15-19|0.4|0.6|0.5|110|Incidence|21373098|Colon and Rectum|2012
5-9|~|~|~|~|Incidence|20467414|Colon and Rectum|2012
<1|~|~|~|~|Incidence|3926486|Colon and Rectum|2012
1-4|~|~|~|~|Mortality|7852288|Corpus and Uterus, NOS|2012
10-14|~|~|~|~|Mortality|10110562|Corpus and Uterus, NOS|2012
15-19|~|~|~|~|Mortality|10410430|Corpus and Uterus, NOS|2012
5-9|~|~|~|~|Mortality|10015570|Corpus and Uterus, NOS|2012
<1|~|~|~|~|Mortality|1918799|Corpus and Uterus, NOS|2012
1-4|~|~|~|~|Incidence|7852288|Corpus and Uterus, NOS|2012
10-14|~|~|~|~|Incidence|10110562|Corpus and Uterus, NOS|2012
15-19|~|~|~|~|Incidence|10410430|Corpus and Uterus, NOS|2012
5-9|~|~|~|~|Incidence|10015570|Corpus and Uterus, NOS|2012
<1|~|~|~|~|Incidence|1918799|Corpus and Uterus, NOS|2012
1-4|~|~|~|~|Mortality|16048677|Esophagus|2012
10-14|~|~|~|~|Mortality|20671622|Esophagus|2012
15-19|~|~|~|~|Mortality|21373098|Esophagus|2012
5-9|~|~|~|~|Mortality|20467414|Esophagus|2012
<1|~|~|~|~|Mortality|3926486|Esophagus|2012
1-4|~|~|~|~|Incidence|16048677|Esophagus|2012
10-14|~|~|~|~|Incidence|20671622|Esophagus|2012
15-19|~|~|~|~|Incidence|21373098|Esophagus|2012
5-9|~|~|~|~|Incidence|20467414|Esophagus|2012
<1|~|~|~|~|Incidence|3926486|Esophagus|2012
1-4|~|~|~|~|Mortality|7852288|Female Breast|2012
10-14|~|~|~|~|Mortality|10110562|Female Breast|2012
15-19|~|~|~|~|Mortality|10410430|Female Breast|2012
5-9|~|~|~|~|Mortality|10015570|Female Breast|2012
<1|~|~|~|~|Mortality|1918799|Female Breast|2012
1-4|~|~|~|~|Incidence|7852288|Female Breast|2012
10-14|~|~|~|~|Incidence|10110562|Female Breast|2012
15-19|0.1|0.3|0.2|17|Incidence|10410430|Female Breast|2012
5-9|~|~|~|~|Incidence|10015570|Female Breast|2012
<1|~|~|~|~|Incidence|1918799|Female Breast|2012
1-4|~|~|~|~|Incidence|7852288|Female Breast, <i>in situ</i>|2012
10-14|~|~|~|~|Incidence|10110562|Female Breast, <i>in situ</i>|2012
15-19|~|~|~|~|Incidence|10410430|Female Breast, <i>in situ</i>|2012
5-9|~|~|~|~|Incidence|10015570|Female Breast, <i>in situ</i>|2012
<1|~|~|~|~|Incidence|1918799|Female Breast, <i>in situ</i>|2012
1-4|~|~|~|~|Mortality|16048677|Hodgkin Lymphoma|2012
10-14|~|~|~|~|Mortality|20671622|Hodgkin Lymphoma|2012
15-19|~|~|~|~|Mortality|21373098|Hodgkin Lymphoma|2012
5-9|~|~|~|~|Mortality|20467414|Hodgkin Lymphoma|2012
<1|~|~|~|~|Mortality|3926486|Hodgkin Lymphoma|2012
1-4|0.1|0.2|0.1|21|Incidence|16048677|Hodgkin Lymphoma|2012
10-14|1.1|1.4|1.3|261|Incidence|20671622|Hodgkin Lymphoma|2012
15-19|3.0|3.5|3.3|695|Incidence|21373098|Hodgkin Lymphoma|2012
5-9|0.3|0.4|0.3|68|Incidence|20467414|Hodgkin Lymphoma|2012
<1|~|~|~|~|Incidence|3926486|Hodgkin Lymphoma|2012
1-4|.|.|.|.|Mortality|16048677|Kaposi Sarcoma|2012
10-14|.|.|.|.|Mortality|20671622|Kaposi Sarcoma|2012
15-19|.|.|.|.|Mortality|21373098|Kaposi Sarcoma|2012
5-9|.|.|.|.|Mortality|20467414|Kaposi Sarcoma|2012
<1|.|.|.|.|Mortality|3926486|Kaposi Sarcoma|2012
1-4|~|~|~|~|Incidence|16048677|Kaposi Sarcoma|2012
10-14|~|~|~|~|Incidence|20671622|Kaposi Sarcoma|2012
15-19|~|~|~|~|Incidence|21373098|Kaposi Sarcoma|2012
5-9|~|~|~|~|Incidence|20467414|Kaposi Sarcoma|2012
<1|~|~|~|~|Incidence|3926486|Kaposi Sarcoma|2012
1-4|~|~|~|~|Mortality|16048677|Kidney and Renal Pelvis|2012
10-14|~|~|~|~|Mortality|20671622|Kidney and Renal Pelvis|2012
15-19|~|~|~|~|Mortality|21373098|Kidney and Renal Pelvis|2012
5-9|~|~|~|~|Mortality|20467414|Kidney and Renal Pelvis|2012
<1|~|~|~|~|Mortality|3926486|Kidney and Renal Pelvis|2012
1-4|1.8|2.3|2.0|327|Incidence|16048677|Kidney and Renal Pelvis|2012
10-14|0.1|0.2|0.2|34|Incidence|20671622|Kidney and Renal Pelvis|2012
15-19|0.2|0.3|0.3|55|Incidence|21373098|Kidney and Renal Pelvis|2012
5-9|0.5|0.7|0.6|115|Incidence|20467414|Kidney and Renal Pelvis|2012
<1|1.4|2.2|1.8|69|Incidence|3926486|Kidney and Renal Pelvis|2012
1-4|~|~|~|~|Mortality|16048677|Larynx|2012
10-14|~|~|~|~|Mortality|20671622|Larynx|2012
15-19|~|~|~|~|Mortality|21373098|Larynx|2012
5-9|~|~|~|~|Mortality|20467414|Larynx|2012
<1|~|~|~|~|Mortality|3926486|Larynx|2012
1-4|~|~|~|~|Incidence|16048677|Larynx|2012
10-14|~|~|~|~|Incidence|20671622|Larynx|2012
15-19|~|~|~|~|Incidence|21373098|Larynx|2012
5-9|~|~|~|~|Incidence|20467414|Larynx|2012
<1|~|~|~|~|Incidence|3926486|Larynx|2012
1-4|0.7|1.0|0.8|136|Mortality|16048677|Leukemias|2012
10-14|0.5|0.7|0.6|126|Mortality|20671622|Leukemias|2012
15-19|0.6|0.9|0.7|156|Mortality|21373098|Leukemias|2012
5-9|0.4|0.6|0.5|97|Mortality|20467414|Leukemias|2012
<1|0.3|0.8|0.5|19|Mortality|3926486|Leukemias|2012
1-4|8.6|9.5|9.0|1450|Incidence|16048677|Leukemias|2012
10-14|2.7|3.2|3.0|611|Incidence|20671622|Leukemias|2012
15-19|2.8|3.2|3.0|639|Incidence|21373098|Leukemias|2012
5-9|3.7|4.3|4.0|818|Incidence|20467414|Leukemias|2012
<1|3.6|4.9|4.2|165|Incidence|3926486|Leukemias|2012
