AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
20+|~|~|~|Benign/Borderline|~|114027722|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
20+|0.1|0.1|0.1|Malignant|89|114027722|Female|Embryonal/primitive/medulloblastoma|2008|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|115293599|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
20+|0.1|0.1|0.1|Malignant|104|115293599|Female|Embryonal/primitive/medulloblastoma|2009|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|116622642|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
20+|0.1|0.1|0.1|Malignant|72|116622642|Female|Embryonal/primitive/medulloblastoma|2010|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|117941206|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
20+|0.0|0.1|0.1|Malignant|69|117941206|Female|Embryonal/primitive/medulloblastoma|2011|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|119233275|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
20+|0.1|0.1|0.1|Malignant|81|119233275|Female|Embryonal/primitive/medulloblastoma|2012|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|608145338|Female|Embryonal/primitive/medulloblastoma|2012-2016|~|~|~
20+|0.1|0.1|0.1|Malignant|372|608145338|Female|Embryonal/primitive/medulloblastoma|2012-2016|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|120424999|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
20+|0.1|0.1|0.1|Malignant|87|120424999|Female|Embryonal/primitive/medulloblastoma|2013|0.1|0.1|0.1
20+|~|~|~|Benign/Borderline|~|121659593|Female|Embryonal/primitive/medulloblastoma|2014|~|~|~
20+|0.0|0.1|0.1|Malignant|72|121659593|Female|Embryonal/primitive/medulloblastoma|2014|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|122838596|Female|Embryonal/primitive/medulloblastoma|2015|~|~|~
20+|0.0|0.1|0.1|Malignant|68|122838596|Female|Embryonal/primitive/medulloblastoma|2015|0.0|0.1|0.1
20+|~|~|~|Benign/Borderline|~|123988875|Female|Embryonal/primitive/medulloblastoma|2016|~|~|~
20+|0.0|0.1|0.1|Malignant|64|123988875|Female|Embryonal/primitive/medulloblastoma|2016|0.0|0.1|0.1
20+|0.1|0.1|0.1|Benign/Borderline|105|109112165|Female|Ependymoma variants|2004|0.1|0.1|0.1
20+|~|~|~|Malignant|~|109112165|Female|Ependymoma variants|2004|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|121|110320645|Female|Ependymoma variants|2005|0.1|0.1|0.1
20+|~|~|~|Malignant|~|110320645|Female|Ependymoma variants|2005|~|~|~
20+|0.1|0.2|0.1|Benign/Borderline|148|111567226|Female|Ependymoma variants|2006|0.1|0.2|0.1
20+|~|~|~|Malignant|~|111567226|Female|Ependymoma variants|2006|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|112|112783993|Female|Ependymoma variants|2007|0.1|0.1|0.1
20+|~|~|~|Malignant|~|112783993|Female|Ependymoma variants|2007|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|111|114027722|Female|Ependymoma variants|2008|0.1|0.1|0.1
20+|~|~|~|Malignant|~|114027722|Female|Ependymoma variants|2008|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|112|115293599|Female|Ependymoma variants|2009|0.1|0.1|0.1
20+|~|~|~|Malignant|~|115293599|Female|Ependymoma variants|2009|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|122|116622642|Female|Ependymoma variants|2010|0.1|0.1|0.1
20+|~|~|~|Malignant|~|116622642|Female|Ependymoma variants|2010|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|118|117941206|Female|Ependymoma variants|2011|0.1|0.1|0.1
20+|~|~|~|Malignant|~|117941206|Female|Ependymoma variants|2011|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|130|119233275|Female|Ependymoma variants|2012|0.1|0.1|0.1
20+|~|~|~|Malignant|~|119233275|Female|Ependymoma variants|2012|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|629|608145338|Female|Ependymoma variants|2012-2016|0.1|0.1|0.1
20+|~|~|~|Malignant|~|608145338|Female|Ependymoma variants|2012-2016|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|118|120424999|Female|Ependymoma variants|2013|0.1|0.1|0.1
20+|~|~|~|Malignant|~|120424999|Female|Ependymoma variants|2013|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|131|121659593|Female|Ependymoma variants|2014|0.1|0.1|0.1
20+|~|~|~|Malignant|~|121659593|Female|Ependymoma variants|2014|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|131|122838596|Female|Ependymoma variants|2015|0.1|0.1|0.1
20+|~|~|~|Malignant|~|122838596|Female|Ependymoma variants|2015|~|~|~
20+|0.1|0.1|0.1|Benign/Borderline|119|123988875|Female|Ependymoma variants|2016|0.1|0.1|0.1
20+|~|~|~|Malignant|~|123988875|Female|Ependymoma variants|2016|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
20+|0.2|0.3|0.3|Malignant|293|109112165|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|110320645|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
20+|0.2|0.3|0.3|Malignant|302|110320645|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|111567226|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
20+|0.2|0.3|0.3|Malignant|293|111567226|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|112783993|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
20+|0.2|0.3|0.3|Malignant|295|112783993|Female|Ependymoma/anaplastic ependymoma|2007|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|114027722|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
20+|0.2|0.3|0.3|Malignant|313|114027722|Female|Ependymoma/anaplastic ependymoma|2008|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|115293599|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
20+|0.3|0.3|0.3|Malignant|345|115293599|Female|Ependymoma/anaplastic ependymoma|2009|0.3|0.3|0.3
20+|~|~|~|Benign/Borderline|~|116622642|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
20+|0.2|0.3|0.3|Malignant|296|116622642|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|117941206|Female|Ependymoma/anaplastic ependymoma|2011|~|~|~
20+|0.2|0.3|0.3|Malignant|297|117941206|Female|Ependymoma/anaplastic ependymoma|2011|0.2|0.3|0.3
20+|~|~|~|Benign/Borderline|~|119233275|Female|Ependymoma/anaplastic ependymoma|2012|~|~|~
20+|0.2|0.3|0.3|Malignant|303|119233275|Female|Ependymoma/anaplastic ependymoma|2012|0.2|0.3|0.3
20+|0.0|0.0|0.0|Benign/Borderline|33|608145338|Female|Ependymoma/anaplastic ependymoma|2012-2016|0.0|0.0|0.0
20+|0.2|0.2|0.2|Malignant|1345|608145338|Female|Ependymoma/anaplastic ependymoma|2012-2016|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|120424999|Female|Ependymoma/anaplastic ependymoma|2013|~|~|~
20+|0.2|0.3|0.2|Malignant|274|120424999|Female|Ependymoma/anaplastic ependymoma|2013|0.2|0.3|0.2
20+|~|~|~|Benign/Borderline|~|121659593|Female|Ependymoma/anaplastic ependymoma|2014|~|~|~
20+|0.2|0.2|0.2|Malignant|242|121659593|Female|Ependymoma/anaplastic ependymoma|2014|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|122838596|Female|Ependymoma/anaplastic ependymoma|2015|~|~|~
20+|0.2|0.3|0.2|Malignant|270|122838596|Female|Ependymoma/anaplastic ependymoma|2015|0.2|0.2|0.2
20+|~|~|~|Benign/Borderline|~|123988875|Female|Ependymoma/anaplastic ependymoma|2016|~|~|~
20+|0.2|0.2|0.2|Malignant|256|123988875|Female|Ependymoma/anaplastic ependymoma|2016|0.2|0.2|0.2
20+|0.0|0.0|0.0|Benign/Borderline|17|109112165|Female|Germ Cell Tumors|2004|0.0|0.0|0.0
20+|~|~|~|Malignant|~|109112165|Female|Germ Cell Tumors|2004|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|36|110320645|Female|Germ Cell Tumors|2005|0.0|0.0|0.0
20+|~|~|~|Malignant|~|110320645|Female|Germ Cell Tumors|2005|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|36|111567226|Female|Germ Cell Tumors|2006|0.0|0.0|0.0
20+|~|~|~|Malignant|~|111567226|Female|Germ Cell Tumors|2006|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|36|112783993|Female|Germ Cell Tumors|2007|0.0|0.0|0.0
20+|~|~|~|Malignant|~|112783993|Female|Germ Cell Tumors|2007|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|33|114027722|Female|Germ Cell Tumors|2008|0.0|0.0|0.0
20+|~|~|~|Malignant|~|114027722|Female|Germ Cell Tumors|2008|~|~|~
20+|0.0|0.1|0.0|Benign/Borderline|42|115293599|Female|Germ Cell Tumors|2009|0.0|0.0|0.0
20+|~|~|~|Malignant|~|115293599|Female|Germ Cell Tumors|2009|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|116622642|Female|Germ Cell Tumors|2010|0.0|0.0|0.0
20+|~|~|~|Malignant|~|116622642|Female|Germ Cell Tumors|2010|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|37|117941206|Female|Germ Cell Tumors|2011|0.0|0.0|0.0
20+|~|~|~|Malignant|~|117941206|Female|Germ Cell Tumors|2011|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|119233275|Female|Germ Cell Tumors|2012|0.0|0.0|0.0
20+|~|~|~|Malignant|~|119233275|Female|Germ Cell Tumors|2012|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|150|608145338|Female|Germ Cell Tumors|2012-2016|0.0|0.0|0.0
20+|0.0|0.0|0.0|Malignant|35|608145338|Female|Germ Cell Tumors|2012-2016|0.0|0.0|0.0
20+|0.0|0.0|0.0|Benign/Borderline|25|120424999|Female|Germ Cell Tumors|2013|0.0|0.0|0.0
20+|~|~|~|Malignant|~|120424999|Female|Germ Cell Tumors|2013|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|121659593|Female|Germ Cell Tumors|2014|0.0|0.0|0.0
20+|~|~|~|Malignant|~|121659593|Female|Germ Cell Tumors|2014|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|32|122838596|Female|Germ Cell Tumors|2015|0.0|0.0|0.0
20+|~|~|~|Malignant|~|122838596|Female|Germ Cell Tumors|2015|~|~|~
20+|0.0|0.0|0.0|Benign/Borderline|29|123988875|Female|Germ Cell Tumors|2016|0.0|0.0|0.0
20+|~|~|~|Malignant|~|123988875|Female|Germ Cell Tumors|2016|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Glioblastoma|2004|~|~|~
20+|3.4|3.6|3.5|Malignant|4094|109112165|Female|Glioblastoma|2004|3.6|3.9|3.8
20+|~|~|~|Benign/Borderline|~|110320645|Female|Glioblastoma|2005|~|~|~
20+|3.4|3.6|3.5|Malignant|4160|110320645|Female|Glioblastoma|2005|3.7|3.9|3.8
20+|~|~|~|Benign/Borderline|~|111567226|Female|Glioblastoma|2006|~|~|~
20+|3.5|3.7|3.6|Malignant|4290|111567226|Female|Glioblastoma|2006|3.7|4.0|3.8
20+|~|~|~|Benign/Borderline|~|112783993|Female|Glioblastoma|2007|~|~|~
20+|3.5|3.7|3.6|Malignant|4368|112783993|Female|Glioblastoma|2007|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|114027722|Female|Glioblastoma|2008|~|~|~
20+|3.4|3.6|3.5|Malignant|4407|114027722|Female|Glioblastoma|2008|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|115293599|Female|Glioblastoma|2009|~|~|~
20+|3.4|3.6|3.5|Malignant|4476|115293599|Female|Glioblastoma|2009|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|116622642|Female|Glioblastoma|2010|~|~|~
20+|3.4|3.6|3.5|Malignant|4610|116622642|Female|Glioblastoma|2010|3.8|4.1|4.0
20+|~|~|~|Benign/Borderline|~|117941206|Female|Glioblastoma|2011|~|~|~
20+|3.4|3.6|3.5|Malignant|4584|117941206|Female|Glioblastoma|2011|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|119233275|Female|Glioblastoma|2012|~|~|~
20+|3.5|3.7|3.6|Malignant|4861|119233275|Female|Glioblastoma|2012|4.0|4.2|4.1
20+|~|~|~|Benign/Borderline|~|608145338|Female|Glioblastoma|2012-2016|~|~|~
20+|3.5|3.5|3.5|Malignant|24736|608145338|Female|Glioblastoma|2012-2016|4.0|4.1|4.1
20+|~|~|~|Benign/Borderline|~|120424999|Female|Glioblastoma|2013|~|~|~
20+|3.4|3.6|3.5|Malignant|4911|120424999|Female|Glioblastoma|2013|4.0|4.2|4.1
20+|~|~|~|Benign/Borderline|~|121659593|Female|Glioblastoma|2014|~|~|~
20+|3.3|3.5|3.4|Malignant|4786|121659593|Female|Glioblastoma|2014|3.8|4.0|3.9
20+|~|~|~|Benign/Borderline|~|122838596|Female|Glioblastoma|2015|~|~|~
20+|3.5|3.7|3.6|Malignant|5102|122838596|Female|Glioblastoma|2015|4.0|4.3|4.2
20+|~|~|~|Benign/Borderline|~|123988875|Female|Glioblastoma|2016|~|~|~
20+|3.4|3.6|3.5|Malignant|5076|123988875|Female|Glioblastoma|2016|4.0|4.2|4.1
20+|~|~|~|Benign/Borderline|~|109112165|Female|Glioma malignant, NOS|2004|~|~|~
20+|0.3|0.4|0.4|Malignant|423|109112165|Female|Glioma malignant, NOS|2004|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|110320645|Female|Glioma malignant, NOS|2005|~|~|~
20+|0.3|0.4|0.3|Malignant|392|110320645|Female|Glioma malignant, NOS|2005|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|111567226|Female|Glioma malignant, NOS|2006|~|~|~
20+|0.3|0.4|0.3|Malignant|397|111567226|Female|Glioma malignant, NOS|2006|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|112783993|Female|Glioma malignant, NOS|2007|~|~|~
20+|0.3|0.4|0.3|Malignant|412|112783993|Female|Glioma malignant, NOS|2007|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|114027722|Female|Glioma malignant, NOS|2008|~|~|~
20+|0.3|0.4|0.4|Malignant|442|114027722|Female|Glioma malignant, NOS|2008|0.4|0.4|0.4
20+|~|~|~|Benign/Borderline|~|115293599|Female|Glioma malignant, NOS|2009|~|~|~
20+|0.4|0.5|0.4|Malignant|513|115293599|Female|Glioma malignant, NOS|2009|0.4|0.5|0.4
20+|~|~|~|Benign/Borderline|~|116622642|Female|Glioma malignant, NOS|2010|~|~|~
20+|0.3|0.4|0.3|Malignant|410|116622642|Female|Glioma malignant, NOS|2010|0.3|0.4|0.4
20+|~|~|~|Benign/Borderline|~|117941206|Female|Glioma malignant, NOS|2011|~|~|~
20+|0.3|0.4|0.4|Malignant|446|117941206|Female|Glioma malignant, NOS|2011|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|16|119233275|Female|Glioma malignant, NOS|2012|0.0|0.0|0.0
20+|0.3|0.4|0.3|Malignant|435|119233275|Female|Glioma malignant, NOS|2012|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|105|608145338|Female|Glioma malignant, NOS|2012-2016|0.0|0.0|0.0
20+|0.3|0.4|0.4|Malignant|2342|608145338|Female|Glioma malignant, NOS|2012-2016|0.4|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|18|120424999|Female|Glioma malignant, NOS|2013|0.0|0.0|0.0
20+|0.3|0.4|0.4|Malignant|460|120424999|Female|Glioma malignant, NOS|2013|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|26|121659593|Female|Glioma malignant, NOS|2014|0.0|0.0|0.0
20+|0.3|0.4|0.3|Malignant|439|121659593|Female|Glioma malignant, NOS|2014|0.3|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|28|122838596|Female|Glioma malignant, NOS|2015|0.0|0.0|0.0
20+|0.4|0.4|0.4|Malignant|506|122838596|Female|Glioma malignant, NOS|2015|0.4|0.4|0.4
20+|0.0|0.0|0.0|Benign/Borderline|17|123988875|Female|Glioma malignant, NOS|2016|0.0|0.0|0.0
20+|0.3|0.4|0.4|Malignant|502|123988875|Female|Glioma malignant, NOS|2016|0.4|0.4|0.4
20+|0.2|0.2|0.2|Benign/Borderline|206|109112165|Female|Hemangioblastoma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|109112165|Female|Hemangioblastoma|2004|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|228|110320645|Female|Hemangioblastoma|2005|0.2|0.2|0.2
20+|~|~|~|Malignant|~|110320645|Female|Hemangioblastoma|2005|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|222|111567226|Female|Hemangioblastoma|2006|0.2|0.2|0.2
20+|~|~|~|Malignant|~|111567226|Female|Hemangioblastoma|2006|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|217|112783993|Female|Hemangioblastoma|2007|0.2|0.2|0.2
20+|~|~|~|Malignant|~|112783993|Female|Hemangioblastoma|2007|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|239|114027722|Female|Hemangioblastoma|2008|0.2|0.2|0.2
20+|~|~|~|Malignant|~|114027722|Female|Hemangioblastoma|2008|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|234|115293599|Female|Hemangioblastoma|2009|0.2|0.2|0.2
20+|~|~|~|Malignant|~|115293599|Female|Hemangioblastoma|2009|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|225|116622642|Female|Hemangioblastoma|2010|0.2|0.2|0.2
20+|~|~|~|Malignant|~|116622642|Female|Hemangioblastoma|2010|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|245|117941206|Female|Hemangioblastoma|2011|0.2|0.2|0.2
20+|~|~|~|Malignant|~|117941206|Female|Hemangioblastoma|2011|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|255|119233275|Female|Hemangioblastoma|2012|0.2|0.2|0.2
20+|~|~|~|Malignant|~|119233275|Female|Hemangioblastoma|2012|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|1191|608145338|Female|Hemangioblastoma|2012-2016|0.2|0.2|0.2
20+|0.0|0.0|0.0|Malignant|16|608145338|Female|Hemangioblastoma|2012-2016|0.0|0.0|0.0
20+|0.2|0.2|0.2|Benign/Borderline|230|120424999|Female|Hemangioblastoma|2013|0.2|0.2|0.2
20+|~|~|~|Malignant|~|120424999|Female|Hemangioblastoma|2013|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|215|121659593|Female|Hemangioblastoma|2014|0.2|0.2|0.2
20+|~|~|~|Malignant|~|121659593|Female|Hemangioblastoma|2014|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|240|122838596|Female|Hemangioblastoma|2015|0.2|0.2|0.2
20+|~|~|~|Malignant|~|122838596|Female|Hemangioblastoma|2015|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|251|123988875|Female|Hemangioblastoma|2016|0.2|0.2|0.2
20+|~|~|~|Malignant|~|123988875|Female|Hemangioblastoma|2016|~|~|~
20+|0.2|0.2|0.2|Benign/Borderline|234|109112165|Female|Hemangioma|2004|0.2|0.2|0.2
20+|~|~|~|Malignant|~|109112165|Female|Hemangioma|2004|~|~|~
20+|0.2|0.3|0.3|Benign/Borderline|283|110320645|Female|Hemangioma|2005|0.2|0.3|0.3
20+|~|~|~|Malignant|~|110320645|Female|Hemangioma|2005|~|~|~
20+|0.2|0.3|0.3|Benign/Borderline|314|111567226|Female|Hemangioma|2006|0.3|0.3|0.3
20+|~|~|~|Malignant|~|111567226|Female|Hemangioma|2006|~|~|~
20+|0.3|0.4|0.3|Benign/Borderline|366|112783993|Female|Hemangioma|2007|0.3|0.4|0.3
20+|~|~|~|Malignant|~|112783993|Female|Hemangioma|2007|~|~|~
20+|0.4|0.4|0.4|Benign/Borderline|465|114027722|Female|Hemangioma|2008|0.4|0.4|0.4
20+|~|~|~|Malignant|~|114027722|Female|Hemangioma|2008|~|~|~
20+|0.4|0.5|0.4|Benign/Borderline|516|115293599|Female|Hemangioma|2009|0.4|0.5|0.4
20+|~|~|~|Malignant|~|115293599|Female|Hemangioma|2009|~|~|~
20+|0.5|0.6|0.6|Benign/Borderline|652|116622642|Female|Hemangioma|2010|0.5|0.6|0.6
20+|~|~|~|Malignant|~|116622642|Female|Hemangioma|2010|~|~|~
20+|0.6|0.6|0.6|Benign/Borderline|710|117941206|Female|Hemangioma|2011|0.6|0.6|0.6
20+|~|~|~|Malignant|~|117941206|Female|Hemangioma|2011|~|~|~
20+|0.5|0.6|0.6|Benign/Borderline|704|119233275|Female|Hemangioma|2012|0.5|0.6|0.6
20+|~|~|~|Malignant|~|119233275|Female|Hemangioma|2012|~|~|~
20+|0.5|0.5|0.5|Benign/Borderline|3091|608145338|Female|Hemangioma|2012-2016|0.5|0.5|0.5
20+|~|~|~|Malignant|~|608145338|Female|Hemangioma|2012-2016|~|~|~
20+|0.5|0.6|0.6|Benign/Borderline|716|120424999|Female|Hemangioma|2013|0.6|0.6|0.6
20+|~|~|~|Malignant|~|120424999|Female|Hemangioma|2013|~|~|~
20+|0.5|0.6|0.5|Benign/Borderline|633|121659593|Female|Hemangioma|2014|0.5|0.6|0.5
20+|~|~|~|Malignant|~|121659593|Female|Hemangioma|2014|~|~|~
20+|0.4|0.5|0.4|Benign/Borderline|542|122838596|Female|Hemangioma|2015|0.4|0.5|0.4
20+|~|~|~|Malignant|~|122838596|Female|Hemangioma|2015|~|~|~
20+|0.4|0.4|0.4|Benign/Borderline|496|123988875|Female|Hemangioma|2016|0.4|0.4|0.4
20+|~|~|~|Malignant|~|123988875|Female|Hemangioma|2016|~|~|~
20+|~|~|~|Benign/Borderline|~|109112165|Female|Local Extensions from Regional Tumors|2004|~|~|~
20+|0.0|0.0|0.0|Malignant|24|109112165|Female|Local Extensions from Regional Tumors|2004|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|110320645|Female|Local Extensions from Regional Tumors|2005|~|~|~
20+|0.0|0.0|0.0|Malignant|23|110320645|Female|Local Extensions from Regional Tumors|2005|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|111567226|Female|Local Extensions from Regional Tumors|2006|~|~|~
20+|0.0|0.0|0.0|Malignant|18|111567226|Female|Local Extensions from Regional Tumors|2006|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|112783993|Female|Local Extensions from Regional Tumors|2007|~|~|~
20+|0.0|0.0|0.0|Malignant|25|112783993|Female|Local Extensions from Regional Tumors|2007|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|114027722|Female|Local Extensions from Regional Tumors|2008|~|~|~
20+|0.0|0.0|0.0|Malignant|22|114027722|Female|Local Extensions from Regional Tumors|2008|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|115293599|Female|Local Extensions from Regional Tumors|2009|~|~|~
20+|0.0|0.0|0.0|Malignant|23|115293599|Female|Local Extensions from Regional Tumors|2009|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|116622642|Female|Local Extensions from Regional Tumors|2010|~|~|~
20+|0.0|0.0|0.0|Malignant|24|116622642|Female|Local Extensions from Regional Tumors|2010|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|117941206|Female|Local Extensions from Regional Tumors|2011|~|~|~
20+|0.0|0.0|0.0|Malignant|20|117941206|Female|Local Extensions from Regional Tumors|2011|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|119233275|Female|Local Extensions from Regional Tumors|2012|~|~|~
20+|0.0|0.0|0.0|Malignant|20|119233275|Female|Local Extensions from Regional Tumors|2012|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|608145338|Female|Local Extensions from Regional Tumors|2012-2016|~|~|~
20+|0.0|0.0|0.0|Malignant|96|608145338|Female|Local Extensions from Regional Tumors|2012-2016|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|120424999|Female|Local Extensions from Regional Tumors|2013|~|~|~
20+|~|~|~|Malignant|~|120424999|Female|Local Extensions from Regional Tumors|2013|~|~|~
20+|~|~|~|Benign/Borderline|~|121659593|Female|Local Extensions from Regional Tumors|2014|~|~|~
20+|0.0|0.0|0.0|Malignant|26|121659593|Female|Local Extensions from Regional Tumors|2014|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|122838596|Female|Local Extensions from Regional Tumors|2015|~|~|~
20+|0.0|0.0|0.0|Malignant|19|122838596|Female|Local Extensions from Regional Tumors|2015|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|123988875|Female|Local Extensions from Regional Tumors|2016|~|~|~
20+|0.0|0.0|0.0|Malignant|16|123988875|Female|Local Extensions from Regional Tumors|2016|0.0|0.0|0.0
20+|~|~|~|Benign/Borderline|~|109112165|Female|Lymphomas and Hematopoietic Neoplasms|2004|~|~|~
20+|0.5|0.6|0.5|Malignant|594|109112165|Female|Lymphomas and Hematopoietic Neoplasms|2004|0.5|0.6|0.5
20+|~|~|~|Benign/Borderline|~|110320645|Female|Lymphomas and Hematopoietic Neoplasms|2005|~|~|~
20+|0.5|0.6|0.6|Malignant|660|110320645|Female|Lymphomas and Hematopoietic Neoplasms|2005|0.6|0.6|0.6
20+|~|~|~|Benign/Borderline|~|111567226|Female|Lymphomas and Hematopoietic Neoplasms|2006|~|~|~
20+|0.5|0.6|0.6|Malignant|676|111567226|Female|Lymphomas and Hematopoietic Neoplasms|2006|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|112783993|Female|Lymphomas and Hematopoietic Neoplasms|2007|~|~|~
20+|0.5|0.6|0.5|Malignant|640|112783993|Female|Lymphomas and Hematopoietic Neoplasms|2007|0.5|0.6|0.6
20+|~|~|~|Benign/Borderline|~|114027722|Female|Lymphomas and Hematopoietic Neoplasms|2008|~|~|~
20+|0.5|0.6|0.6|Malignant|701|114027722|Female|Lymphomas and Hematopoietic Neoplasms|2008|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|115293599|Female|Lymphomas and Hematopoietic Neoplasms|2009|~|~|~
20+|0.5|0.6|0.5|Malignant|667|115293599|Female|Lymphomas and Hematopoietic Neoplasms|2009|0.5|0.6|0.6
20+|~|~|~|Benign/Borderline|~|116622642|Female|Lymphomas and Hematopoietic Neoplasms|2010|~|~|~
20+|0.5|0.6|0.6|Malignant|749|116622642|Female|Lymphomas and Hematopoietic Neoplasms|2010|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|117941206|Female|Lymphomas and Hematopoietic Neoplasms|2011|~|~|~
20+|0.5|0.6|0.6|Malignant|718|117941206|Female|Lymphomas and Hematopoietic Neoplasms|2011|0.6|0.7|0.6
20+|~|~|~|Benign/Borderline|~|119233275|Female|Lymphomas and Hematopoietic Neoplasms|2012|~|~|~
